001  00001 |Loss: 0.665 | Acc: 14.000% 
001  00129 |Loss: 0.005 | Acc: 7.000% 
001  00257 |Loss: 0.003 | Acc: 11.000% 
001  00385 |Loss: 0.002 | Acc: 13.000% 
001  00513 |Loss: 0.001 | Acc: 15.000% 
001  00641 |Loss: 0.001 | Acc: 17.000% 
001  00769 |Loss: 0.001 | Acc: 17.000% 
001  00897 |Loss: 0.001 | Acc: 18.000% 
001  01025 |Loss: 0.001 | Acc: 19.000% 
001  01153 |Loss: 0.001 | Acc: 20.000% 
001  01281 |Loss: 0.001 | Acc: 20.000% 
001  01409 |Loss: 0.000 | Acc: 20.000% 
001  01537 |Loss: 0.000 | Acc: 21.000% 
001  01665 |Loss: 0.000 | Acc: 21.000% 
001  01793 |Loss: 0.000 | Acc: 22.000% 
001  01921 |Loss: 0.000 | Acc: 22.000% 
001  02049 |Loss: 0.000 | Acc: 22.000% 
001  02177 |Loss: 0.000 | Acc: 22.000% 
001  02305 |Loss: 0.000 | Acc: 22.000% 
001  02433 |Loss: 0.000 | Acc: 23.000% 
001  02561 |Loss: 0.000 | Acc: 23.000% 
001  02689 |Loss: 0.000 | Acc: 23.000% 
001  02817 |Loss: 0.000 | Acc: 23.000% 
001  02945 |Loss: 0.000 | Acc: 23.000% 
001  03073 |Loss: 0.000 | Acc: 23.000% 
001  03201 |Loss: 0.000 | Acc: 23.000% 
001  03329 |Loss: 0.000 | Acc: 23.000% 
001  03457 |Loss: 0.000 | Acc: 23.000% 
001  03585 |Loss: 0.000 | Acc: 24.000% 
001  03713 |Loss: 0.000 | Acc: 24.000% 
001  03841 |Loss: 0.000 | Acc: 24.000% 
001  03969 |Loss: 0.000 | Acc: 24.000% 
001  04097 |Loss: 0.000 | Acc: 24.000% 
001  04225 |Loss: 0.000 | Acc: 24.000% 
001  04353 |Loss: 0.000 | Acc: 24.000% 
001  04481 |Loss: 0.000 | Acc: 24.000% 
001  04609 |Loss: 0.000 | Acc: 24.000% 
001  04737 |Loss: 0.000 | Acc: 24.000% 
001  04865 |Loss: 0.000 | Acc: 24.000% 
001  04993 |Loss: 0.000 | Acc: 24.000% 
001  05121 |Loss: 0.000 | Acc: 24.000% 
001  05249 |Loss: 0.000 | Acc: 24.000% 
001  05377 |Loss: 0.000 | Acc: 24.000% 
001  05505 |Loss: 0.000 | Acc: 24.000% 
001  05633 |Loss: 0.000 | Acc: 24.000% 
001  05761 |Loss: 0.000 | Acc: 24.000% 
001  05889 |Loss: 0.000 | Acc: 24.000% 
001  06017 |Loss: 0.000 | Acc: 24.000% 
001  06145 |Loss: 0.000 | Acc: 24.000% 
001  06273 |Loss: 0.000 | Acc: 24.000% 
001  06401 |Loss: 0.000 | Acc: 24.000% 
001  06529 |Loss: 0.000 | Acc: 24.000% 
001  06657 |Loss: 0.000 | Acc: 24.000% 
001  06785 |Loss: 0.000 | Acc: 24.000% 
001  06913 |Loss: 0.000 | Acc: 24.000% 
001  07041 |Loss: 0.000 | Acc: 24.000% 
001  07169 |Loss: 0.000 | Acc: 24.000% 
001  07297 |Loss: 0.000 | Acc: 24.000% 
001  07425 |Loss: 0.000 | Acc: 24.000% 
001  07553 |Loss: 0.000 | Acc: 24.000% 
001  07681 |Loss: 0.000 | Acc: 24.000% 
001  07809 |Loss: 0.000 | Acc: 24.000% 
001  07937 |Loss: 0.000 | Acc: 24.000% 
001  08065 |Loss: 0.000 | Acc: 24.000% 
001  08193 |Loss: 0.000 | Acc: 24.000% 
001  08321 |Loss: 0.000 | Acc: 24.000% 
001  08449 |Loss: 0.000 | Acc: 25.000% 
001  08577 |Loss: 0.000 | Acc: 24.000% 
001  08705 |Loss: 0.000 | Acc: 24.000% 
