001  00001 |Loss: 0.669 | Acc: 7.000% 
001  00065 |Loss: 0.010 | Acc: 12.000% 
001  00129 |Loss: 0.005 | Acc: 16.000% 
001  00193 |Loss: 0.003 | Acc: 18.000% 
001  00257 |Loss: 0.003 | Acc: 18.000% 
001  00321 |Loss: 0.002 | Acc: 19.000% 
001  00385 |Loss: 0.002 | Acc: 19.000% 
001  00449 |Loss: 0.001 | Acc: 19.000% 
001  00513 |Loss: 0.001 | Acc: 19.000% 
001  00577 |Loss: 0.001 | Acc: 20.000% 
001  00641 |Loss: 0.001 | Acc: 21.000% 
001  00705 |Loss: 0.001 | Acc: 21.000% 
001  00769 |Loss: 0.001 | Acc: 21.000% 
001  00833 |Loss: 0.001 | Acc: 21.000% 
001  00897 |Loss: 0.001 | Acc: 20.000% 
001  00961 |Loss: 0.001 | Acc: 20.000% 
001  01025 |Loss: 0.001 | Acc: 21.000% 
001  01089 |Loss: 0.001 | Acc: 21.000% 
001  01153 |Loss: 0.001 | Acc: 22.000% 
001  01217 |Loss: 0.001 | Acc: 22.000% 
001  01281 |Loss: 0.001 | Acc: 22.000% 
001  01345 |Loss: 0.000 | Acc: 22.000% 
001  01409 |Loss: 0.000 | Acc: 22.000% 
001  01473 |Loss: 0.000 | Acc: 22.000% 
001  01537 |Loss: 0.000 | Acc: 22.000% 
001  01601 |Loss: 0.000 | Acc: 22.000% 
001  01665 |Loss: 0.000 | Acc: 23.000% 
001  01729 |Loss: 0.000 | Acc: 23.000% 
001  01793 |Loss: 0.000 | Acc: 23.000% 
001  01857 |Loss: 0.000 | Acc: 23.000% 
001  01921 |Loss: 0.000 | Acc: 24.000% 
001  01985 |Loss: 0.000 | Acc: 23.000% 
001  02049 |Loss: 0.000 | Acc: 23.000% 
001  02113 |Loss: 0.000 | Acc: 23.000% 
001  02177 |Loss: 0.000 | Acc: 23.000% 
001  02241 |Loss: 0.000 | Acc: 23.000% 
001  02305 |Loss: 0.000 | Acc: 23.000% 
001  02369 |Loss: 0.000 | Acc: 23.000% 
001  02433 |Loss: 0.000 | Acc: 24.000% 
001  02497 |Loss: 0.000 | Acc: 24.000% 
001  02561 |Loss: 0.000 | Acc: 24.000% 
001  02625 |Loss: 0.000 | Acc: 24.000% 
001  02689 |Loss: 0.000 | Acc: 23.000% 
001  02753 |Loss: 0.000 | Acc: 24.000% 
001  02817 |Loss: 0.000 | Acc: 24.000% 
001  02881 |Loss: 0.000 | Acc: 24.000% 
001  02945 |Loss: 0.000 | Acc: 24.000% 
001  03009 |Loss: 0.000 | Acc: 24.000% 
001  03073 |Loss: 0.000 | Acc: 24.000% 
001  03137 |Loss: 0.000 | Acc: 24.000% 
001  03201 |Loss: 0.000 | Acc: 24.000% 
001  03265 |Loss: 0.000 | Acc: 24.000% 
001  03329 |Loss: 0.000 | Acc: 24.000% 
001  03393 |Loss: 0.000 | Acc: 24.000% 
001  03457 |Loss: 0.000 | Acc: 24.000% 
001  03521 |Loss: 0.000 | Acc: 24.000% 
001  03585 |Loss: 0.000 | Acc: 24.000% 
001  03649 |Loss: 0.000 | Acc: 24.000% 
001  03713 |Loss: 0.000 | Acc: 24.000% 
001  03777 |Loss: 0.000 | Acc: 24.000% 
001  03841 |Loss: 0.000 | Acc: 24.000% 
001  03905 |Loss: 0.000 | Acc: 25.000% 
001  03969 |Loss: 0.000 | Acc: 25.000% 
001  04033 |Loss: 0.000 | Acc: 25.000% 
001  04097 |Loss: 0.000 | Acc: 25.000% 
001  04161 |Loss: 0.000 | Acc: 25.000% 
001  04225 |Loss: 0.000 | Acc: 25.000% 
001  04289 |Loss: 0.000 | Acc: 25.000% 
001  04353 |Loss: 0.000 | Acc: 25.000% 
001  04417 |Loss: 0.000 | Acc: 25.000% 
001  04481 |Loss: 0.000 | Acc: 25.000% 
001  04545 |Loss: 0.000 | Acc: 25.000% 
001  04609 |Loss: 0.000 | Acc: 25.000% 
001  04673 |Loss: 0.000 | Acc: 25.000% 
001  04737 |Loss: 0.000 | Acc: 25.000% 
001  04801 |Loss: 0.000 | Acc: 25.000% 
001  04865 |Loss: 0.000 | Acc: 25.000% 
001  04929 |Loss: 0.000 | Acc: 25.000% 
001  04993 |Loss: 0.000 | Acc: 25.000% 
001  05057 |Loss: 0.000 | Acc: 25.000% 
001  05121 |Loss: 0.000 | Acc: 25.000% 
001  05185 |Loss: 0.000 | Acc: 25.000% 
001  05249 |Loss: 0.000 | Acc: 25.000% 
001  05313 |Loss: 0.000 | Acc: 25.000% 
001  05377 |Loss: 0.000 | Acc: 25.000% 
001  05441 |Loss: 0.000 | Acc: 25.000% 
001  05505 |Loss: 0.000 | Acc: 25.000% 
001  05569 |Loss: 0.000 | Acc: 25.000% 
001  05633 |Loss: 0.000 | Acc: 25.000% 
001  05697 |Loss: 0.000 | Acc: 25.000% 
001  05761 |Loss: 0.000 | Acc: 25.000% 
001  05825 |Loss: 0.000 | Acc: 25.000% 
001  05889 |Loss: 0.000 | Acc: 25.000% 
001  05953 |Loss: 0.000 | Acc: 25.000% 
001  06017 |Loss: 0.000 | Acc: 25.000% 
001  06081 |Loss: 0.000 | Acc: 25.000% 
001  06145 |Loss: 0.000 | Acc: 25.000% 
001  06209 |Loss: 0.000 | Acc: 25.000% 
001  06273 |Loss: 0.000 | Acc: 25.000% 
001  06337 |Loss: 0.000 | Acc: 25.000% 
001  06401 |Loss: 0.000 | Acc: 25.000% 
001  06465 |Loss: 0.000 | Acc: 25.000% 
001  06529 |Loss: 0.000 | Acc: 25.000% 
001  06593 |Loss: 0.000 | Acc: 25.000% 
001  06657 |Loss: 0.000 | Acc: 25.000% 
001  06721 |Loss: 0.000 | Acc: 25.000% 
001  06785 |Loss: 0.000 | Acc: 25.000% 
001  06849 |Loss: 0.000 | Acc: 25.000% 
001  06913 |Loss: 0.000 | Acc: 25.000% 
001  06977 |Loss: 0.000 | Acc: 25.000% 
001  07041 |Loss: 0.000 | Acc: 25.000% 
001  07105 |Loss: 0.000 | Acc: 25.000% 
001  07169 |Loss: 0.000 | Acc: 25.000% 
001  07233 |Loss: 0.000 | Acc: 25.000% 
001  07297 |Loss: 0.000 | Acc: 25.000% 
001  07361 |Loss: 0.000 | Acc: 25.000% 
001  07425 |Loss: 0.000 | Acc: 25.000% 
001  07489 |Loss: 0.000 | Acc: 25.000% 
001  07553 |Loss: 0.000 | Acc: 25.000% 
001  07617 |Loss: 0.000 | Acc: 25.000% 
001  07681 |Loss: 0.000 | Acc: 25.000% 
001  07745 |Loss: 0.000 | Acc: 25.000% 
001  07809 |Loss: 0.000 | Acc: 25.000% 
001  07873 |Loss: 0.000 | Acc: 25.000% 
001  07937 |Loss: 0.000 | Acc: 25.000% 
001  08001 |Loss: 0.000 | Acc: 25.000% 
